"q2","q3","q4","q6","q7","q7_7_text","q19","q12","q12_5_text","q13","q14","q14_12_text","q57","q15","q20","q16","q11","q11_9_text","q17","q40_1","q41","q42","q43","q121","q46_1","q47","q48","q49","q122","q51_1","q52","q53","q54","q123","q23_1","q24","q25","q26","q124","q34_1","q35","q36","q37","q125","q28_1","q29","q30","q31","q126","age","male","educ","married","white","race","preference","sexuality","straight","trans","religion","religiosity","ideo5","partyid","viewer_party","democrat_respondent","partisan_id","poli_interest","employment","employed","income","treatment","same_party"
1981,"Male","Some college, but no degree (yet)","Never married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"Yes","Protestant",NA,"Very important","Liberal","Democrat","Some of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"Probably","Probably","Probably","Possibly",37,1,3,0,0,2,1,3,1,1,10,4,4,1,0,1,0,3,8,1,4,2,1
1974,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Conservative","Republican","Only now and then","Working part time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"Definitely","Definitely","Very probably","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,0,5,1,1,11,1,3,1,0,10,4,2,3,2,0,2,2,9,0,7,0,NA
1994,"Male","High school graduate","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Moderate","Independent","Only now and then","Working full time now",NA,"$50,000 - $59,999",80,"Very probably","Very probably","Very probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,2,1,1,11,2,3,1,0,11,2,3,2,1,0,1,2,8,1,6,0,NA
1990,"Male","4-year college degree","Married","Native American",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Very important","Conservative","Republican","Some of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Probably","Probably","Very probably","Definitely not",28,1,5,1,0,9,1,3,1,0,11,4,2,3,2,0,2,3,8,1,7,2,NA
1952,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Very liberal","Democrat","Most of the time","Retired",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,"Definitely","Very probably","Very probably","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,0,5,1,1,11,1,3,1,0,10,4,5,1,0,1,0,4,3,0,5,0,NA
1988,"Male","High school graduate","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Moderate","Independent","Hardly at all","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"Definitely not","Definitely not","Definitely not","Very probably",NA,NA,NA,NA,NA,30,1,2,0,1,11,1,3,1,0,2,1,3,2,1,0,1,1,8,1,3,1,1
1974,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Slightly important","Moderate","Independent","Some of the time","Working part time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,"Probably not","Probably not","Probably not","Possibly",44,0,3,1,1,11,1,3,1,0,1,2,3,2,1,0,1,3,9,0,9,2,0
1991,"Female","High school graduate","Domestic/civil partnership","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Moderately important","Moderate","Independent","Only now and then","Taking care of home or family",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,"Probably","Very probably","Possibly","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,2,0,1,11,1,3,1,0,1,3,3,2,1,0,1,2,5,0,3,0,NA
1970,"Female","4-year college degree","Never married","White,Hispanic or Latino",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Liberal","Democrat","Only now and then","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Probably","Probably not","Definitely not","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0,5,0,0,18,1,3,1,0,11,3,4,1,0,1,0,2,8,1,4,0,NA
1984,"Female","4-year college degree","Domestic/civil partnership","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"Probably","Probably","Possibly","Very probably",34,0,5,0,1,11,1,3,1,0,2,1,5,1,0,1,0,4,8,1,9,2,1
